,date,symbol,symbol_name,action,price,shares,commission,return
256,2020-06-01,518880,黄金ETF,sell,3.895,,2.9212499999999997,0.04116546377973802
257,2020-06-01,513100,纳指ETF,sell,0.749,,2.3144099999999996,-0.0013333333333333346
258,2020-06-01,513500,标普500ETF,sell,1.017,,1.9221299999999997,0.04414784394250506
259,2020-06-01,510880,红利ETF,sell,1.794,,1.4531399999999999,-0.010479867622724714
260,2020-06-01,511270,10年地方债ETF,buy,92.8,100.0,2.784,
261,2020-06-01,518880,黄金ETF,buy,3.895,2500.0,2.9212499999999997,
262,2020-06-01,513100,纳指ETF,buy,0.749,10400.0,2.33688,
263,2020-06-01,513500,标普500ETF,buy,1.017,6100.0,1.8611099999999998,
264,2020-06-01,510880,红利ETF,buy,1.794,2700.0,1.4531399999999999,
265,2020-07-01,511270,10年地方债ETF,sell,91.73,,2.7518999999999996,-0.011530172413793031
266,2020-07-01,518880,黄金ETF,sell,3.939,,2.9542499999999996,0.011296534017971769
267,2020-07-01,513100,纳指ETF,sell,0.757,,2.36184,0.01068090787716957
268,2020-07-01,513500,标普500ETF,sell,1.022,,1.8702599999999998,0.0049164208456245
269,2020-07-01,510880,红利ETF,sell,1.851,,1.49931,0.031772575250836085
270,2020-07-01,511270,10年地方债ETF,buy,91.73,100.0,2.7518999999999996,
271,2020-07-01,518880,黄金ETF,buy,3.939,2400.0,2.83608,
272,2020-07-01,513100,纳指ETF,buy,0.757,10400.0,2.36184,
273,2020-07-01,513500,标普500ETF,buy,1.022,6200.0,1.90092,
274,2020-07-01,510880,红利ETF,buy,1.851,2700.0,1.49931,
275,2020-08-03,511270,10年地方债ETF,sell,91.48,,2.7443999999999997,-0.0027253897307314943
276,2020-08-03,518880,黄金ETF,sell,4.2,,3.0239999999999996,0.06626047220106629
277,2020-08-03,513100,纳指ETF,sell,0.784,,2.44608,0.03566710700132104
278,2020-08-03,513500,标普500ETF,sell,1.068,,1.98648,0.04500978473581217
279,2020-08-03,510880,红利ETF,sell,2.106,,1.7058599999999997,0.13776337115072929
280,2020-08-03,511270,10年地方债ETF,buy,91.48,100.0,2.7443999999999997,
281,2020-08-03,518880,黄金ETF,buy,4.2,2400.0,3.0239999999999996,
282,2020-08-03,513100,纳指ETF,buy,0.784,10400.0,2.44608,
283,2020-08-03,513500,标普500ETF,buy,1.068,6100.0,1.95444,
284,2020-08-03,510880,红利ETF,buy,2.106,2400.0,1.5163199999999997,
285,2020-09-01,511270,10年地方债ETF,sell,90.15,,2.7045,-0.014538696982947073
286,2020-09-01,518880,黄金ETF,sell,4.169,,3.0016799999999995,-0.007380952380952519
287,2020-09-01,513100,纳指ETF,sell,0.998,,3.11376,0.27295918367346933
288,2020-09-01,513500,标普500ETF,sell,1.148,,2.10084,0.07490636704119835
289,2020-09-01,510880,红利ETF,sell,2.149,,1.54728,0.020417853751187157
290,2020-09-01,511270,10年地方债ETF,buy,90.15,100.0,2.7045,
291,2020-09-01,518880,黄金ETF,buy,4.169,2500.0,3.126749999999999,
292,2020-09-01,513100,纳指ETF,buy,0.998,8600.0,2.5748399999999996,
293,2020-09-01,513500,标普500ETF,buy,1.148,6000.0,2.0663999999999993,
294,2020-09-01,510880,红利ETF,buy,2.149,2500.0,1.6117499999999998,
295,2020-10-09,511270,10年地方债ETF,sell,89.462,,2.68386,-0.0076317249029395715
296,2020-10-09,518880,黄金ETF,sell,3.971,,2.9782499999999996,-0.047493403693931284
297,2020-10-09,513100,纳指ETF,sell,0.929,,2.39682,-0.06913827655310616
298,2020-10-09,513500,标普500ETF,sell,1.096,,1.9728,-0.04529616724738661
299,2020-10-09,510880,红利ETF,sell,2.077,,1.55775,-0.033503955328059595
300,2020-10-09,511270,10年地方债ETF,buy,89.462,100.0,2.68386,
301,2020-10-09,518880,黄金ETF,buy,3.971,2600.0,3.09738,
302,2020-10-09,513100,纳指ETF,buy,0.929,8900.0,2.4804299999999997,
303,2020-10-09,513500,标普500ETF,buy,1.096,6100.0,2.00568,
304,2020-10-09,510880,红利ETF,buy,2.077,2500.0,1.55775,
305,2020-11-02,511270,10年地方债ETF,sell,90.09,,2.7026999999999997,0.007019740224899959
306,2020-11-02,518880,黄金ETF,sell,3.93,,3.0654,-0.010324855200201441
307,2020-11-02,513100,纳指ETF,sell,0.851,,2.2721699999999996,-0.08396124865446723
308,2020-11-02,513500,标普500ETF,sell,1.034,,1.89222,-0.05656934306569348
309,2020-11-02,510880,红利ETF,sell,2.06,,1.545,-0.008184882041405828
310,2020-11-02,511270,10年地方债ETF,buy,90.09,100.0,2.7026999999999997,
311,2020-11-02,518880,黄金ETF,buy,3.93,2500.0,2.9475,
312,2020-11-02,513100,纳指ETF,buy,0.851,9600.0,2.4508799999999997,
313,2020-11-02,513500,标普500ETF,buy,1.034,6300.0,1.9542599999999997,
314,2020-11-02,510880,红利ETF,buy,2.06,2500.0,1.545,
315,2020-12-01,511270,10年地方债ETF,sell,89.973,,2.6991899999999998,-0.001298701298701348
316,2020-12-01,518880,黄金ETF,sell,3.653,,2.73975,-0.07048346055979647
317,2020-12-01,513100,纳指ETF,sell,0.873,,2.5142399999999996,0.02585193889541718
318,2020-12-01,513500,标普500ETF,sell,1.128,,2.1319199999999996,0.09090909090909077
319,2020-12-01,510880,红利ETF,sell,2.297,,1.7227499999999998,0.11504854368932044
320,2020-12-01,511270,10年地方债ETF,buy,89.973,100.0,2.6991899999999998,
321,2020-12-01,518880,黄金ETF,buy,3.653,2800.0,3.0685199999999995,
322,2020-12-01,513100,纳指ETF,buy,0.873,9400.0,2.46186,
323,2020-12-01,513500,标普500ETF,buy,1.128,5800.0,1.9627199999999998,
324,2020-12-01,510880,红利ETF,buy,2.297,2300.0,1.58493,
325,2021-01-04,511270,10年地方债ETF,sell,91.96,,2.7588,0.022084403098707333
326,2021-01-04,518880,黄金ETF,sell,3.902,,3.2776799999999997,0.06816315357240627
327,2021-01-04,513100,纳指ETF,sell,0.867,,2.44494,-0.006872852233676982
328,2021-01-04,513500,标普500ETF,sell,1.14,,1.9835999999999996,0.010638297872340436
329,2021-01-04,510880,红利ETF,sell,2.108,,1.45452,-0.08228123639529823
330,2021-01-04,511270,10年地方债ETF,buy,91.96,100.0,2.7588,
331,2021-01-04,518880,黄金ETF,buy,3.902,2600.0,3.04356,
332,2021-01-04,513100,纳指ETF,buy,0.867,9600.0,2.49696,
333,2021-01-04,513500,标普500ETF,buy,1.14,5800.0,1.9835999999999996,
334,2021-01-04,510880,红利ETF,buy,2.108,2500.0,1.581,
335,2021-02-01,511270,10年地方债ETF,sell,90.398,,2.7119399999999994,-0.01698564593301433
